"","ID","MF_Name","padj_gene","log2","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","rplP","GO:0000049~tRNA binding",0.0140128978106349,-1.11053127614603,-1,-1.85347204508306,6.89564538802756e-09,17,1.85347204508306,-1,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMglowMg","MF"
"2","rpsL","GO:0000049~tRNA binding",0.000419012984610001,-1.55440789185889,-1,-3.37777251866354,6.89564538802756e-09,17,3.37777251866354,-2,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMglowMg","MF"
"3","rpmG","GO:0000049~tRNA binding",0.000231320069977936,-1.10198983087831,-1,-3.63578668498756,6.89564538802756e-09,17,3.63578668498756,-3,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMglowMg","MF"
"4","metG","GO:0000049~tRNA binding",0.000122239420709517,-1.10758472342497,-1,-3.91278871687748,6.89564538802756e-09,17,3.91278871687748,-4,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMglowMg","MF"
"5","rpsJ","GO:0000049~tRNA binding",4.4431406688638e-05,-2.02311053270082,-1,-4.35230993687296,6.89564538802756e-09,17,4.35230993687296,-5,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMglowMg","MF"
"6","rpsS","GO:0000049~tRNA binding",2.77600508524835e-05,-1.54406888750004,-1,-4.55657974265044,6.89564538802756e-09,17,4.55657974265044,-6,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMglowMg","MF"
"7","rph","GO:0000049~tRNA binding",1.09286790295877e-05,-1.88032293365998,-1,-4.9614323288857,6.89564538802756e-09,17,4.9614323288857,-7,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMglowMg","MF"
"8","rpsG","GO:0000049~tRNA binding",7.48855978526358e-06,-2.0019670953256,-1,-5.12560169864973,6.89564538802756e-09,17,5.12560169864973,-8,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMglowMg","MF"
"9","rpsM","GO:0000049~tRNA binding",4.48749479576509e-06,-1.86684525841132,-1,-5.34799604207308,6.89564538802756e-09,17,5.34799604207308,-9,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMglowMg","MF"
"10","rplA","GO:0000049~tRNA binding",3.36505089571447e-07,-2.25123985495145,-1,-6.47300836277409,6.89564538802756e-09,17,6.47300836277409,-10,0,13,"tRNA binding
 padj:0.00000 N( -13/ +0/ 17)","tRNA binding","mrna","Exp","Mg_mM_Levels","baseMglowMg","MF"
