ID	Species	numCommas	KEGG_Path	KEGG_PATH_Name	count
aas	Escherichia coli	 36	KEGG_Path_019	eco00071:Fatty acid metabolism	1
aas	Escherichia coli	 36	KEGG_Path_020	eco00564:Glycerophospholipid metabolism	2
accA	Escherichia coli	 54	KEGG_Path_028	eco00061:Fatty acid biosynthesis	1
accA	Escherichia coli	 54	KEGG_Path_029	eco00620:Pyruvate metabolism	2
accA	Escherichia coli	 54	KEGG_Path_030	eco00640:Propanoate metabolism	3
accB	Escherichia coli	 54	KEGG_Path_028	eco00061:Fatty acid biosynthesis	1
accB	Escherichia coli	 54	KEGG_Path_029	eco00620:Pyruvate metabolism	2
accB	Escherichia coli	 54	KEGG_Path_030	eco00640:Propanoate metabolism	3
accC	Escherichia coli	 54	KEGG_Path_028	eco00061:Fatty acid biosynthesis	1
accC	Escherichia coli	 54	KEGG_Path_029	eco00620:Pyruvate metabolism	2
accC	Escherichia coli	 54	KEGG_Path_030	eco00640:Propanoate metabolism	3
accD	Escherichia coli	 54	KEGG_Path_028	eco00061:Fatty acid biosynthesis	1
accD	Escherichia coli	 54	KEGG_Path_029	eco00620:Pyruvate metabolism	2
accD	Escherichia coli	 54	KEGG_Path_030	eco00640:Propanoate metabolism	3
aceA	Escherichia coli	 18	KEGG_Path_010	eco00630:Glyoxylate and dicarboxylate metabolism	1
aceB	Escherichia coli	 36	KEGG_Path_019	eco00620:Pyruvate metabolism	1
aceB	Escherichia coli	 36	KEGG_Path_020	eco00630:Glyoxylate and dicarboxylate metabolism	2
aceE	Escherichia coli	110	KEGG_Path_051	eco00010:Glycolysis / Gluconeogenesis	1
aceE	Escherichia coli	110	KEGG_Path_052	eco00020:Citrate cycle (TCA cycle)	2
aceE	Escherichia coli	110	KEGG_Path_053	eco00290:Valine, leucine and isoleucine biosynthesis	3
aceE	Escherichia coli	110	KEGG_Path_054	eco00620:Pyruvate metabolism	4
aceE	Escherichia coli	110	KEGG_Path_055	eco00650:Butanoate metabolism	5
aceF	Escherichia coli	 63	KEGG_Path_028	eco00010:Glycolysis / Gluconeogenesis	1
aceF	Escherichia coli	 63	KEGG_Path_029	eco00020:Citrate cycle (TCA cycle)	2
aceF	Escherichia coli	 63	KEGG_Path_030	eco00620:Pyruvate metabolism	3
ackA	Escherichia coli	 51	KEGG_Path_025	eco00430:Taurine and hypotaurine metabolism	1
ackA	Escherichia coli	 51	KEGG_Path_026	eco00620:Pyruvate metabolism	2
ackA	Escherichia coli	 51	KEGG_Path_027	eco00640:Propanoate metabolism	3
acnA	Escherichia coli	 34	KEGG_Path_019	eco00020:Citrate cycle (TCA cycle)	1
acnA	Escherichia coli	 34	KEGG_Path_020	eco00630:Glyoxylate and dicarboxylate metabolism	2
acnB	Escherichia coli	 36	KEGG_Path_019	eco00020:Citrate cycle (TCA cycle)	1
acnB	Escherichia coli	 36	KEGG_Path_020	eco00630:Glyoxylate and dicarboxylate metabolism	2
acpS	Escherichia coli	 21	KEGG_Path_010	eco00770:Pantothenate and CoA biosynthesis	1
acs	Escherichia coli	 42	KEGG_Path_022	eco00010:Glycolysis / Gluconeogenesis	1
acs	Escherichia coli	 42	KEGG_Path_023	eco00620:Pyruvate metabolism	2
acs	Escherichia coli	 42	KEGG_Path_024	eco00640:Propanoate metabolism	3
add	Escherichia coli	 18	KEGG_Path_010	eco00230:Purine metabolism	1
ade	Escherichia coli	 14	KEGG_Path_006	eco00230:Purine metabolism	1
adhE	Escherichia coli	144	KEGG_Path_073	eco00010:Glycolysis / Gluconeogenesis	1
adhE	Escherichia coli	144	KEGG_Path_074	eco00071:Fatty acid metabolism	2
