ID	Gene Name	Species	GOTERM_MF_FAT
fabZ	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase	Escherichia coli	GO:0016836~hydro-lyase activity,
yleA	(Dimethylallyl)adenosine tRNA methylthiotransferase miaB	Escherichia coli	GO:0005506~iron ion binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,GO:0051540~metal cluster binding,
ampD	1,6-anhydro-N-acetylmuramyl-L-alanine amidase ampD	Escherichia coli	GO:0008270~zinc ion binding,GO:0008745~N-acetylmuramoyl-L-alanine amidase activity,GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	Escherichia coli	GO:0003949~1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity,GO:0016860~intramolecular oxidoreductase activity,GO:0016861~intramolecular oxidoreductase activity, interconverting aldoses and ketoses,
plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	Escherichia coli	GO:0003841~1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0008374~O-acyltransferase activity,GO:0016411~acylglycerol O-acyltransferase activity,
dxs	1-deoxy-D-xylulose-5-phosphate synthase	Escherichia coli	GO:0000287~magnesium ion binding,GO:0008661~1-deoxy-D-xylulose-5-phosphate synthase activity,GO:0016744~transferase activity, transferring aldehyde or ketonic groups,GO:0030145~manganese ion binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
fruK	1-phosphofructokinase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0008443~phosphofructokinase activity,GO:0008662~1-phosphofructokinase activity,GO:0017076~purine nucleotide binding,GO:0019200~carbohydrate kinase activity,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,
ligT	2'-5'-RNA ligase	Escherichia coli	GO:0016886~ligase activity, forming phosphoric ester bonds,
dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	Escherichia coli	GO:0008666~2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity,GO:0016410~N-acyltransferase activity,GO:0016748~succinyltransferase activity,GO:0016749~N-succinyltransferase activity,
gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	GO:0004619~phosphoglycerate mutase activity,GO:0016866~intramolecular transferase activity,GO:0016868~intramolecular transferase activity, phosphotransferases,GO:0046538~2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity,
gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	GO:0004619~phosphoglycerate mutase activity,GO:0016866~intramolecular transferase activity,GO:0016868~intramolecular transferase activity, phosphotransferases,GO:0046538~2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity,
gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	GO:0004619~phosphoglycerate mutase activity,GO:0016866~intramolecular transferase activity,GO:0016868~intramolecular transferase activity, phosphotransferases,GO:0046538~2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity,
gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	GO:0004619~phosphoglycerate mutase activity,GO:0016866~intramolecular transferase activity,GO:0016868~intramolecular transferase activity, phosphotransferases,GO:0046538~2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity,
gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	GO:0004619~phosphoglycerate mutase activity,GO:0016866~intramolecular transferase activity,GO:0016868~intramolecular transferase activity, phosphotransferases,GO:0046538~2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity,
entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	Escherichia coli	GO:0005506~iron ion binding,GO:0008667~2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity,GO:0016628~oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
mhpB	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase	Escherichia coli	GO:0005506~iron ion binding,GO:0008198~ferrous iron binding,GO:0016701~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0047070~3-carboxyethylcatechol 2,3-dioxygenase activity,
dkgA	2,5-diketo-D-gluconic acid reductase A	Escherichia coli	GO:0050580~2,5-didehydrogluconate reductase activity,
dkgB	2,5-diketo-D-gluconic acid reductase B	Escherichia coli	GO:0050580~2,5-didehydrogluconate reductase activity,
citG	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0016780~phosphotransferase activity, for other substituted phosphate groups,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0046917~triphosphoribosyl-dephospho-CoA synthase activity,
