"","From","Gene.Name","row","Escherichia coli str. K-12 substr. MG1655"
"1","aas","fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase(aas)",1,947315
"2","aat","leucyl/phenylalanyl-tRNA-protein transferase(aat)",1,945490
"3","abgA","p-aminobenzoyl-glutamate hydrolase, A subunit(abgA)",1,945742
"4","abgB","p-aminobenzoyl-glutamate hydrolase, B subunit(abgB)",1,945950
"5","abgR","putative DNA-binding transcriptional regulator of abgABT operon(abgR)",1,945831
"6","abgT","p-aminobenzoyl-glutamate transporter; membrane protein(abgT)",1,945912
"7","abrB","regulator of aidB expression; inner membrane protein(abrB)",1,945321
"8","accA","acetyl-CoA carboxylase, carboxytransferase, alpha subunit(accA)",1,944895
"9","accB","acetyl CoA carboxylase, BCCP subunit(accB)",1,947758
"10","accC","acetyl-CoA carboxylase, biotin carboxylase subunit(accC)",1,947761
"11","accD","acetyl-CoA carboxylase, beta (carboxyltransferase) subunit(accD)",1,946796
"12","aceA","isocitrate lyase(aceA)",1,948517
"13","aceB","malate synthase A(aceB)",1,948512
"14","aceE","pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding(aceE)",1,944834
"15","aceF","pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2(aceF)",1,944794
"16","aceK","isocitrate dehydrogenase kinase/phosphatase(aceK)",1,944797
"17","ackA","acetate kinase A and propionate kinase 2(ackA)",1,946775
"18","acnA","aconitate hydratase 1; aconitase A(acnA)",1,946724
"19","acnB","aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase(acnB)",1,944864
"20","acpP","acyl carrier protein (ACP)(acpP)",1,944805
"21","acpS","holo-[acyl-carrier-protein] synthase 1(acpS)",1,947037
"22","acpT","4'-phosphopantetheinyl transferase(acpT)",1,947979
"23","acrA","multidrug efflux system(acrA)",1,945112
"24","acrB","multidrug efflux system protein(acrB)",1,945108
"25","acrD","aminoglycoside/multidrug efflux system(acrD)",1,945464
"26","acrE","cytoplasmic membrane lipoprotein(acrE)",1,947706
"27","acrF","multidrug efflux system protein(acrF)",1,947768
"28","acrR","transcriptional repressor(acrR)",1,945516
"29","acs","acetyl-CoA synthetase(acs)",1,948572
"30","actP","acetate transporter(actP)",1,948575
"31","ada","fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase(ada)",1,946710
"32","add","adenosine deaminase(add)",1,945851
"33","adhE","fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase(adhE)",1,945837
"34","adhP","ethanol-active dehydrogenase/acetaldehyde-active reductase(adhP)",1,946036
"35","adiA","arginine decarboxylase(adiA)",1,948638
"36","adiY","adi system transcriptional activator(adiY)",1,948627
"37","adk","adenylate kinase(adk)",1,945097
"38","aegA","putative oxidoreductase, FeS binding subunit/NAD/FAD-binding subunit(aegA)",1,947383
"39","aer","fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component(aer)",1,945301
"40","aes","acetyl esterase(aes)",1,947514
"41","agaA","pseudo(agaA)",1,947646
"42","agaB","N-acetylgalactosamine-specific enzyme IIB component of PTS(agaB)",1,947653
"43","agaC","N-acetylgalactosamine-specific enzyme IIC component of PTS(agaC)",1,947652
"44","agaD","N-acetylgalactosamine-specific enzyme IID component of PTS(agaD)",1,947649
"45","agaI","galactosamine-6-phosphate isomerase(agaI)",1,947985
"46","agaR","transcriptional repressor of the aga regulon(agaR)",1,947636
"47","agaS","tagatose-6-phosphate ketose/aldose isomerase(agaS)",1,947645
"48","agaV","N-acetylgalactosamine-specific enzyme IIB component of PTS(agaV)",1,947648
"49","agaW","pseudo(agaW)",1,947647
"50","agp","glucose-1-phosphatase/inositol phosphatase(agp)",1,945773
"51","ahpC","alkyl hydroperoxide reductase, C22 subunit(ahpC)",1,945225
"52","ahpF","alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding(ahpF)",1,947540
"53","aidB","DNA alkylation damage repair protein; flavin-containing DNA binding protein, weak isovaleryl CoA dehydrogenase(aidB)",1,948710
"54","ais","putative LPS core heptose(II)-phosphate phosphatase(ais)",1,944945
"55","alaS","alanyl-tRNA synthetase(alaS)",1,947175
"56","alaT","tRNA(alaT)",1,948337
"57","alaU","tRNA(alaU)",1,947772
"58","alaV","tRNA(alaV)",1,944890
"59","alaW","tRNA(alaW)",1,946860
"60","alaX","tRNA(alaX)",1,946859
"61","aldA","aldehyde dehydrogenase A, NAD-linked(aldA)",1,945672
"62","aldB","aldehyde dehydrogenase B(aldB)",1,948104
"63","alkA","3-methyl-adenine DNA glycosylase II(alkA)",1,947371
"64","alkB","oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions(alkB)",1,946708
"65","allA","ureidoglycolate lyase, releasing urea(allA)",1,945141
"66","allB","allantoinase(allB)",1,945134
"67","allC","allantoate amidohydrolase(allC)",1,945150
"68","allD","ureidoglycolate dehydrogenase(allD)",1,948342
"69","allR","glyoxylate-inducible transcriptional repressor of all and gcl operons(allR)",1,945333
"70","alr","alanine racemase, biosynthetic, PLP-binding(alr)",1,948564
"71","alr","alanine racemase, biosynthetic, PLP-binding(alr)",2,948564
"72","alsA","D-allose ABC transporter ATPase(alsA)",1,948593
"73","alsB","D-allose ABC transporter periplasmic binding protein(alsB)",1,948604
"74","alsC","D-allose ABC transporter permease(alsC)",1,948594
"75","alsE","allulose-6-phosphate 3-epimerase(alsE)",1,948595
"76","alsK","D-allose kinase(alsK)",1,948596
"77","amiA","N-acetylmuramoyl-l-alanine amidase I(amiA)",1,946916
"78","amiB","N-acetylmuramoyl-l-alanine amidase II(amiB)",1,948683
"79","amiC","N-acetylmuramoyl-L-alanine amidase(amiC)",1,947293
"80","amn","AMP nucleosidase(amn)",1,946508
"81","ampC","penicillin-binding protein; beta-lactamase, intrinsically weak(ampC)",1,948669
"82","ampD","1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase(ampD)",1,948877
"83","ampE","ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation(ampE)",1,946678
"84","ampG","muropeptide transporter(ampG)",1,946438
"85","ampH","D-alanyl-D-alanine-carboxypeptidase/endopeptidase; penicillin-binding protein; weak beta-lactamase(ampH)",1,946904
"86","amtB","ammonium transporter(amtB)",1,945084
"87","ansA","cytoplasmic L-asparaginase 1(ansA)",1,946278
"88","ansB","periplasmic L-asparaginase 2(ansB)",1,947454
