"","From","To","Species","Gene.Name"
"1","entB",946178,"Escherichia coli str. K-12 substr. MG1655","isochorismatase(entB)"
"2","entA",945284,"Escherichia coli str. K-12 substr. MG1655","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase(entA)"
"3","tolA",946625,"Escherichia coli str. K-12 substr. MG1655","membrane anchored protein in TolA-TolQ-TolR complex(tolA)"
"4","tolB",945429,"Escherichia coli str. K-12 substr. MG1655","periplasmic protein(tolB)"
"5","entF",945184,"Escherichia coli str. K-12 substr. MG1655","enterobactin synthase multienzyme complex component, ATP-dependent(entF)"
"6","entE",947426,"Escherichia coli str. K-12 substr. MG1655","2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex(entE)"
"7","entD",945194,"Escherichia coli str. K-12 substr. MG1655","phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex(entD)"
"8","entC",945511,"Escherichia coli str. K-12 substr. MG1655","isochorismate synthase 1(entC)"
"9","fes",945181,"Escherichia coli str. K-12 substr. MG1655","enterobactin/ferrienterobactin esterase(fes)"
"10","tolR",945328,"Escherichia coli str. K-12 substr. MG1655","membrane spanning protein in TolA-TolQ-TolR complex(tolR)"
"11","tolQ",948900,"Escherichia coli str. K-12 substr. MG1655","membrane spanning protein in TolA-TolQ-TolR complex(tolQ)"
"12","nei",945320,"Escherichia coli str. K-12 substr. MG1655","endonuclease VIII and 5-formyluracil/5-hydroxymethyluracil DNA glycosylase(nei)"
"13","caiT",944765,"Escherichia coli str. K-12 substr. MG1655","putative transporter(caiT)"
"14","mukE",945550,"Escherichia coli str. K-12 substr. MG1655","chromosome condensin MukBEF, MukE localization factor(mukE)"
"15","mukF",945548,"Escherichia coli str. K-12 substr. MG1655","chromosome condensin MukBEF, kleisin-like subunit, binds calcium(mukF)"
"16","ecpD",947349,"Escherichia coli str. K-12 substr. MG1655","polymerized tip adhesin of ECP fibers(ecpD)"
"17","tonB",945843,"Escherichia coli str. K-12 substr. MG1655","membrane spanning protein in TonB-ExbB-ExbD transport complex(tonB)"
"18","speE",947726,"Escherichia coli str. K-12 substr. MG1655","spermidine synthase (putrescine aminopropyltransferase)(speE)"
"19","speD",947719,"Escherichia coli str. K-12 substr. MG1655","S-adenosylmethionine decarboxylase(speD)"
"20","speG",946117,"Escherichia coli str. K-12 substr. MG1655","spermidine N(1)-acetyltransferase(speG)"
"21","speF",945297,"Escherichia coli str. K-12 substr. MG1655","ornithine decarboxylase isozyme, inducible(speF)"
"22","fdrA",946298,"Escherichia coli str. K-12 substr. MG1655","putative NAD(P)-binding acyl-CoA synthetase(fdrA)"
"23","mukB",945549,"Escherichia coli str. K-12 substr. MG1655","chromosome condensin MukBEF, ATPase and DNA-binding subunit(mukB)"
"24","caiA",949064,"Escherichia coli str. K-12 substr. MG1655","crotonobetaine reductase subunit II, FAD-binding(caiA)"
"25","caiB",948997,"Escherichia coli str. K-12 substr. MG1655","crotonobetainyl CoA:carnitine CoA transferase(caiB)"
"26","rem",946109,"Escherichia coli str. K-12 substr. MG1655","Qin prophage; uncharacterized protein(rem)"
"27","caiC",944886,"Escherichia coli str. K-12 substr. MG1655","putative crotonobetaine/carnitine-CoA ligase(caiC)"
"28","caiD",948995,"Escherichia coli str. K-12 substr. MG1655","carnitinyl-CoA dehydratase(caiD)"
"29","caiE",948999,"Escherichia coli str. K-12 substr. MG1655","stimulator of CaiD and CaiB enzyme activities(caiE)"
"30","caiF",944795,"Escherichia coli str. K-12 substr. MG1655","cai operon transcriptional activator(caiF)"
"31","essQ",946093,"Escherichia coli str. K-12 substr. MG1655","Qin prophage; putative S lysis protein(essQ)"
"32","gdhA",946802,"Escherichia coli str. K-12 substr. MG1655","glutamate dehydrogenase, NADP-specific(gdhA)"
"33","topA",945862,"Escherichia coli str. K-12 substr. MG1655","DNA topoisomerase I, omega subunit(topA)"
"34","topB",946141,"Escherichia coli str. K-12 substr. MG1655","DNA topoisomerase III(topB)"
"35","sbmC",946546,"Escherichia coli str. K-12 substr. MG1655","DNA gyrase inhibitor(sbmC)"
"36","malI",947104,"Escherichia coli str. K-12 substr. MG1655","transcriptional repressor of Mal regulon(malI)"
"37","sbmA",946884,"Escherichia coli str. K-12 substr. MG1655","peptide antibiotic transporter(sbmA)"
"38","fhuD",947510,"Escherichia coli str. K-12 substr. MG1655","iron(3+)-hydroxamate import ABC transporter periplasmic binding protein(fhuD)"
"39","fhuC",945250,"Escherichia coli str. K-12 substr. MG1655","iron(3+)-hydroxamate import ABC transporter ATPase(fhuC)"
"40","fhuE",945649,"Escherichia coli str. K-12 substr. MG1655","ferric-rhodotorulic acid outer membrane transporter(fhuE)"
"41","ndh",946792,"Escherichia coli str. K-12 substr. MG1655","respiratory NADH dehydrogenase 2/cupric reductase(ndh)"
"42","pdhR",944827,"Escherichia coli str. K-12 substr. MG1655","pyruvate dehydrogenase complex repressor; autorepressor(pdhR)"
"43","fhuA",944856,"Escherichia coli str. K-12 substr. MG1655","ferrichrome outer membrane transporter(fhuA)"
"44","fhuB",946890,"Escherichia coli str. K-12 substr. MG1655","iron(3+)-hydroxamate import ABC transporter permease(fhuB)"
"45","pheT",945382,"Escherichia coli str. K-12 substr. MG1655","phenylalanine tRNA synthetase, beta subunit(pheT)"
"46","torR",946182,"Escherichia coli str. K-12 substr. MG1655","response regulator in two-component regulatory system with TorS(torR)"
"47","pheS",946223,"Escherichia coli str. K-12 substr. MG1655","phenylalanine tRNA synthetase, alpha subunit(pheS)"
"48","pheP",945199,"Escherichia coli str. K-12 substr. MG1655","phenylalanine transporter(pheP)"
"49","torT",946289,"Escherichia coli str. K-12 substr. MG1655","periplasmic sensory protein associated with the TorRS two-component regulatory system(torT)"
"50","torS",945595,"Escherichia coli str. K-12 substr. MG1655","hybrid sensory histidine kinase in two-component regulatory system with TorR(torS)"
"51","pheM",947212,"Escherichia coli str. K-12 substr. MG1655","phenylalanyl-tRNA synthetase operon leader peptide(pheM)"
"52","nac",946501,"Escherichia coli str. K-12 substr. MG1655","nitrogen assimilation regulon transcriptional regulator; autorepressor(nac)"
"53","torA",946267,"Escherichia coli str. K-12 substr. MG1655","trimethylamine N-oxide (TMAO) reductase I, catalytic subunit(torA)"
"54","dinG",945431,"Escherichia coli str. K-12 substr. MG1655","ATP-dependent DNA helicase(dinG)"
"55","dinB",944922,"Escherichia coli str. K-12 substr. MG1655","DNA polymerase IV(dinB)"
"56","torC",946252,"Escherichia coli str. K-12 substr. MG1655","trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit(torC)"
"57","torD",945625,"Escherichia coli str. K-12 substr. MG1655","TorA-maturation chaperone(torD)"
"58","dinJ",944914,"Escherichia coli str. K-12 substr. MG1655","antitoxin of YafQ-DinJ toxin-antitoxin system(dinJ)"
"59","dinI",945022,"Escherichia coli str. K-12 substr. MG1655","DNA damage-inducible protein I(dinI)"
"60","torY",946490,"Escherichia coli str. K-12 substr. MG1655","TMAO reductase III (TorYZ), cytochrome c-type subunit(torY)"
"61","torZ",946389,"Escherichia coli str. K-12 substr. MG1655","trimethylamine N-oxide reductase system III, catalytic subunit(torZ)"
"62","murE",944791,"Escherichia coli str. K-12 substr. MG1655","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase(murE)"
"63","murD",944818,"Escherichia coli str. K-12 substr. MG1655","UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase(murD)"
"64","cydD",949052,"Escherichia coli str. K-12 substr. MG1655","glutathione/cysteine ABC transporter export permease/ATPase(cydD)"
"65","nfrB",945849,"Escherichia coli str. K-12 substr. MG1655","bacteriophage N4 receptor, inner membrane subunit(nfrB)"
