,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,vs
1,ECB_00001,211.210731078753,0.0813562535436759,0.664445736740017,0.122442283914463,0.902548752696194,0.964474188116837,thrL,1,mrna,Exp,carbonSource,glucoselactate
2,ECB_00002,1270.67520864356,-0.274772232738907,0.656199533122926,-0.418732746473067,0.675411460679075,0.858560792693881,thrA,-1,mrna,Exp,carbonSource,glucoselactate
3,ECB_00003,496.729929479833,-0.228460320460784,0.590453517252627,-0.386923464397006,0.698812869453782,0.869504249818466,thrB,-1,mrna,Exp,carbonSource,glucoselactate
4,ECB_00004,567.279611044292,0.0195359367434281,0.61689407236455,0.0316682192593406,0.974736639525531,0.993212234649525,thrC,1,mrna,Exp,carbonSource,glucoselactate
5,ECB_00005,56.6003745126162,0.36505182967828,0.454350482891211,0.803458658952692,0.421709682340437,0.717604305659672,yaaX,1,mrna,Exp,carbonSource,glucoselactate
6,ECB_00006,14.8087909936699,-0.00945736493813903,0.429510299694861,-0.0220189479620346,0.982432840913644,0.994658018522467,yaaA,-1,mrna,Exp,carbonSource,glucoselactate
7,ECB_00007,2.63048978873338,-0.0888203611852219,0.558054394436986,-0.159160759364384,0.873542219195536,0.950360401764818,yaaJ,-1,mrna,Exp,carbonSource,glucoselactate
8,ECB_00008,700.10523562039,-0.0944930165441716,0.278505789649882,-0.339285645239051,0.73439455544623,0.88703540165677,talB,-1,mrna,Exp,carbonSource,glucoselactate
9,ECB_00009,48.541551901977,-0.700186385350435,0.346698403145705,-2.01958353138469,0.0434266048140547,0.225996280354899,mogA,-1,mrna,Exp,carbonSource,glucoselactate
10,ECB_00010,25.3619848575554,0.498231037514176,0.338101249087394,1.47361489748709,0.14058530795746,0.429074712634311,yaaH,1,mrna,Exp,carbonSource,glucoselactate
11,ECB_00011,2.4179561150243,-0.028256838209765,0.584682590823299,-0.0483285096106183,0.961454433710991,NA,yaaW,-1,mrna,Exp,carbonSource,glucoselactate
12,ECB_00012,0.18615185115039,0.128670996243582,0.842129909155699,0.152792336247248,0.878562041559822,NA,htgA,1,mrna,Exp,carbonSource,glucoselactate
13,ECB_00013,0.441335754930156,-0.358062188052581,0.843009168688638,-0.424742934420954,0.671024081602527,NA,yaaI,-1,mrna,Exp,carbonSource,glucoselactate
14,ECB_00014,982.536247763383,-0.855946747977171,0.424268401803913,-2.0174652279968,0.0436469862059665,0.226244797860787,dnaK,-1,mrna,Exp,carbonSource,glucoselactate
15,ECB_00015,96.4979716142972,0.19574640678614,0.469798472665724,0.41666037285187,0.67692684323448,0.859378987874184,dnaJ,1,mrna,Exp,carbonSource,glucoselactate
16,ECB_00016,39.1849697773873,-0.313590705602884,0.520042238624027,-0.603010067860275,0.546501991611075,0.797592306011228,insL-1,-1,mrna,Exp,carbonSource,glucoselactate
17,ECB_00017,4.55350622272463,-0.306472492713077,0.70350549664583,-0.435636244740482,0.663100669411751,0.854944191718472,mokC,-1,mrna,Exp,carbonSource,glucoselactate
18,ECB_00018,81.7622691018595,-0.112272279855841,0.26355373057334,-0.425993893585197,0.670112295598736,0.856856953680771,nhaA,-1,mrna,Exp,carbonSource,glucoselactate
19,ECB_00019,15.7690816166725,-0.553710070576479,0.368051727384145,-1.50443546213426,0.132469279103886,0.415062197093528,nhaR,-1,mrna,Exp,carbonSource,glucoselactate
20,ECB_00020,0.690838729796136,-0.823142531026047,0.829661017002602,-0.992143193614055,0.321127678685464,NA,ECB_00020,-1,mrna,Exp,carbonSource,glucoselactate
21,ECB_00021,0.425375295826444,0.539299498650011,0.836951256784144,0.644361895962958,0.519340787318225,NA,ECB_00021,1,mrna,Exp,carbonSource,glucoselactate
22,ECB_00022,0.0232678707441723,0.290492890688091,0.602527874257431,0.482123571537832,0.629718165969507,NA,ECB_00022,1,mrna,Exp,carbonSource,glucoselactate
23,ECB_00023,1.4413364302642,-0.398339920981172,0.673873031001435,-0.591120140821193,0.554439925784479,NA,insA-1,-1,mrna,Exp,carbonSource,glucoselactate
24,ECB_00024,9.33163045450506,-0.697785990407324,0.548423842585761,-1.27234802031461,0.203249493854223,0.52540548558224,insB-1,-1,mrna,Exp,carbonSource,glucoselactate
25,ECB_00025,0.0185387743109954,-0.100896830376589,0.51054156633355,-0.197627063161925,0.843336859055713,NA,ECB_00025,-1,mrna,Exp,carbonSource,glucoselactate
26,ECB_00026,5.72995027371448,0.695257368596804,0.518792033289712,1.34014657894437,0.180197695312002,0.496773298986685,ECB_00026,1,mrna,Exp,carbonSource,glucoselactate
27,ECB_00027,1104.48414576335,0.58287173480157,0.684998642892448,0.850909327849699,0.394819722847625,0.695812702944622,rpsT,1,mrna,Exp,carbonSource,glucoselactate
28,ECB_00028,1.37822237053552,0.883373727802695,0.696003859125238,1.26920808874961,0.204366856885722,NA,yaaY,1,mrna,Exp,carbonSource,glucoselactate
29,ECB_00029,112.557516889172,-0.038380133320883,0.454876439305572,-0.0843748543658917,0.932758399290078,0.977414281408397,ribF,-1,mrna,Exp,carbonSource,glucoselactate
30,ECB_00030,1052.24384119345,0.576475484484646,0.533711991424265,1.08012466226637,0.280086670934977,0.607370770479036,ileS,1,mrna,Exp,carbonSource,glucoselactate
31,ECB_00031,209.354946621853,0.30840532112609,0.46986270337571,0.656373274384973,0.511583981849032,0.774145933811374,lspA,1,mrna,Exp,carbonSource,glucoselactate
32,ECB_00032,36.4674966020545,0.893762081003715,0.621252856912773,1.43864462120164,0.150251237081759,0.447406488093595,fkpB,1,mrna,Exp,carbonSource,glucoselactate
33,ECB_00033,170.646144052468,0.410879768778961,0.561904183380594,0.731227460003906,0.464640229993356,0.745947157748093,ispH,1,mrna,Exp,carbonSource,glucoselactate
34,ECB_00034,17.5259119304933,-0.0109046454015266,0.536956218259098,-0.0203082579747028,0.983797468235288,0.994658018522467,rihC,-1,mrna,Exp,carbonSource,glucoselactate
35,ECB_00035,66.6153347374181,-0.00853850145180574,0.527594211892993,-0.0161838421637907,0.987087725862308,0.995094498809472,dapB,-1,mrna,Exp,carbonSource,glucoselactate
36,ECB_00036,248.362737074538,1.08650027670269,0.682091152457718,1.59289601219398,0.111183521058455,0.37968716771294,carA,1,mrna,Exp,carbonSource,glucoselactate
